@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
46,1581,789,0,0,45120,0
54,1691,4,86,94,93,0
61,24162,998,0,4,207081,0
52,1275,483,0,0,33727,0
25,192,232,0,0,579,0
52,9686,408,0,0,5912,0
33,270,293,0,1,4304,0
22,41,29,0,0,83,0
51,5749,853,2,5,25393,0
78,83790,3059,1,9,46421,0
60,1903,1296,0,0,8441,0
41,542,664,0,0,1689,0
48,2849,44,2,10,363,0
31,418,401,0,0,2890,0
54,6202,893,8,20,9015,0
39,641,706,0,0,77,0
66,231055,65,11,20,14469,0
67,121260,4054,1,8,25047,0
37,617,635,0,0,2617,0
53,1763,523,0,0,1409,0
79,745008,45403,0,0,501150,0
79,1070823,1107,39,105,11725,0
64,82182,66,6,6,24847,0
93,1223177,68746,0,0,1105952,0
49,3544,1105,3,12,7363,0
46,3660,612,1,2,6251,0
31,485,53,0,1,12308,0
53,4280,751,1,2,2460,0
34,245,39,0,0,259,0
40,1801,323,0,0,1984,0
69,572737,65723,10,7,49133,0
23,155,99,0,0,921,0
57,7488,4325,0,0,61875,0
38,593,313,0,0,13220,0
50,2167,1950,7,6,4087,0
64,291328,83,345,853,486,0
50,960,800,0,1,41827,0
44,7981,532,1,2,3992,0
50,3048,2133,1,2,3289,0
46,660,283,0,0,1681,0
55,4235,541,3,10,33936,0
26,123,236,0,0,187,0
50,911,81,1,1,34772,0
62,44449,1235,5,6,4488,0
81,1091629,711,45,113,5133,0
27,404,423,0,0,6561,0
33,355,610,1,2,6799,0
48,3077,123,2,5,17271,0
67,330601,13,29,87,4656,0
47,8601,72,5,12,65,0
17,279,99,0,0,10677,0
58,24499,1890,1,8,188904,0
69,61899,460,59,85,32209,0
67,354008,2,1329,2176,227,0
36,2497,979,1,0,30139,0
