@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
3,1581,789,0,0,45120,0
3,1691,4,86,94,93,0
4,24162,998,0,4,207081,0
3,1275,483,0,0,33727,0
2,192,232,0,0,579,0
3,9686,408,0,0,5912,0
2,270,293,0,1,4304,0
2,41,29,0,0,83,0
3,5749,853,2,5,25393,0
4,83790,3059,1,9,46421,0
4,1903,1296,0,0,8441,0
3,542,664,0,0,1689,0
3,2849,44,2,10,363,0
2,418,401,0,0,2890,0
3,6202,893,8,20,9015,0
2,641,706,0,0,77,0
4,231055,65,11,20,14469,0
4,121260,4054,1,8,25047,0
2,617,635,0,0,2617,0
3,1763,523,0,0,1409,0
4,745008,45403,0,0,501150,0
4,1070823,1107,39,105,11725,0
4,82182,66,6,6,24847,0
5,1223177,68746,0,0,1105952,0
3,3544,1105,3,12,7363,0
3,3660,612,1,2,6251,0
2,485,53,0,1,12308,0
3,4280,751,1,2,2460,0
2,245,39,0,0,259,0
3,1801,323,0,0,1984,0
4,572737,65723,10,7,49133,0
2,155,99,0,0,921,0
3,7488,4325,0,0,61875,0
2,593,313,0,0,13220,0
3,2167,1950,7,6,4087,0
4,291328,83,345,853,486,0
3,960,800,0,1,41827,0
3,7981,532,1,2,3992,0
3,3048,2133,1,2,3289,0
3,660,283,0,0,1681,0
3,4235,541,3,10,33936,0
2,123,236,0,0,187,0
3,911,81,1,1,34772,0
4,44449,1235,5,6,4488,0
5,1091629,711,45,113,5133,0
2,404,423,0,0,6561,0
2,355,610,1,2,6799,0
3,3077,123,2,5,17271,0
4,330601,13,29,87,4656,0
3,8601,72,5,12,65,0
1,279,99,0,0,10677,0
3,24499,1890,1,8,188904,0
4,61899,460,59,85,32209,0
4,354008,2,1329,2176,227,0
2,2497,979,1,0,30139,0
4,347083,141,705,709,8677,0
4,287028,56,1434,2176,1183,0
3,436,294,0,2,3230,0
2,887,674,0,0,1609,0
2,191,347,0,0,3569,0
4,221137,1057,4,8,4741,0
2,117,111,1,0,913,0
4,2053703,0,14,29,64322,0
4,52472,235,0,1,10617,0
4,12309,81,12,67,1867,0
4,38999,55,6,4,3247,0
4,53303,2673,4,13,10016,0
5,2458267,2434,13,61,74087,0
5,683845,688,10,31,21998,0
3,3173,284,3,6,773,0
4,16668,630,0,1,6175,0
3,16714,2161,6,6,9663,0
3,5366,2210,2,4,1786,0
4,46850,70,11,28,8361,0
3,13603,386,0,3,3654,0
3,16711,418,0,2,5931,0
3,7023,706,2,2,16742,0
3,1788,584,1,0,60514,0
3,1488,621,0,0,30938,0
3,5131,1436,0,2,2975,0
3,4110,472,0,0,2860,0
3,12075,237,8,13,2826,0
3,17105,2829,0,0,8376,0
4,36123,200,2,4,62932,0
3,34969,795,1,2,23418,0
4,51085,1477,6,9,11317,0
4,195908,224,13,37,11824,0
4,58207,1771,0,2,91065,0
2,202,92,0,1,640,0
1,74,156,0,2,776,0
2,65,165,0,0,61,0
2,818,1063,0,0,14111,0
4,147470,9900,4,9,5563,0
5,8954135,846,47,71,146909,0
5,5827534,363,39,85,32934,0
4,1823824,88,6,10,89033,0
4,194433,141868,4,7,22941,0
5,1277094,4076,74,90,10753,0
5,2390734,3142,91,169,8652,0
4,3200891,142,66,169,626,0
4,1069373,1342,75,97,16663,0
3,675,1252,0,0,5701,0
1,18,42,0,0,369,0
4,292713,426,34,58,2739,0
4,625924,3,63,147,970,0
5,439850,53,53,89,595,0
2,23584,19876,1,7,9706,0
4,56072,598,102,148,39180,0
3,10478,87,1,2,961,0
4,50728,1584,3,5,19961,0
3,14829,13218,2,1,7215,0
3,8549,1586,1,1,4416,0
3,19536,486,1,3,3755,0
3,4791,267,0,0,981,0
4,35806,846,0,0,9745,0
4,50901,1166,2,3,8308,0
3,28284,3358,0,0,4674,0
3,4383,528,2,1,1929,0
4,18312,382,0,2,26227,0
4,339205,133,214,305,918,0
5,12660152,1165,2464,9459,9760,0
2,648,475,0,0,23456,0
2,241,322,3,1,1386,0
2,744,905,0,0,46224,0
1,255,410,0,0,1892,0
2,15853,1,0,0,0,0
4,45244,1056,43,43,49200,0
3,427,285,0,0,1446,0
1,51,136,0,0,26,0
2,1581,847,0,0,43319,0
3,9659,192,27,51,14961,0
3,8913,559,0,0,820,0
4,219007,886,6,15,4028,0
4,16381,505,11,26,3,0
5,2956524,3397,54,125,47804,0
5,266199,1485,9,20,44333,0
2,520,502,0,0,2430,0
2,613,382,0,0,10460,0
5,448169,585,33,52,21811,0
2,901,1866,0,0,14206,0
2,1014,363,0,0,35813,0
2,426,693,0,0,17111,0
4,183472,50,1020,2160,2266,0
1,252,237,0,1,2112,0
3,1178,626,0,1,8070,0
3,16460,4125,2,6,14211,0
3,7398,318,0,2,945,0
4,391146,2,3272,3915,756,0
3,4533,242,1,3,11142,0
3,3800,323,3,5,26700,0
4,488601,790,4544,6405,202,0
3,858,183,0,0,36223,0
4,71831,1360,2,7,9185,0
4,65233,11524,11,24,56230,0
3,641,535,0,0,37031,0
3,18941,17045,1,3,2766,0
2,501,381,2,3,479,0
2,2413,1673,0,0,88621,0
3,8917,301,0,1,15356,0
3,16542,879,0,3,6034,0
2,387,417,0,0,7108,0
2,255,366,0,0,5336,0
2,490,1415,1,1,714,0
4,334711,457,13,24,13610,0
4,180314,273,3,3,5375,0
5,5721090,5,2220,4792,2904,0
3,9148,645,0,0,5068,0
2,392,305,0,0,1106,0
3,38015,140,2,4,2097,0
2,6866,525,0,0,5288,0
3,11588,1036,2,0,78823,0
2,243,168,0,0,1035,0
3,4860,5345,0,0,12110,0
2,1105,683,0,0,5267,0
4,135568,240,433,577,1612,0
4,211474,4,370,731,2726,0
3,21602,3164,1,2,6205,0
5,21928681,986,75,109,209668,0
5,22607665,1602,2196,2985,70516,0
4,610567,341,11,36,29239,0
5,1008745,852,18,26,65023,0
5,350305,1638,5,13,17440,0
4,208178,658,5,12,2463,0
5,435306,2330,7,12,21417,0
5,2924662,1029,24,59,51975,0
2,623,1340,1,1,2186,0
3,848,2021,0,1,1039,0
4,692590,77,5,10,26769,0
2,245,334,0,0,7058,0
4,470224,1916,13,17,49879,0
4,4551,184,0,0,17196,0
5,190690,2933,14,39,37035,0
4,462505,688,1,4,54457,0
4,537719,234,33,51,1708,0
5,731784,468,53,72,10983,0
5,273770,532,4,6,13436,0
4,970250,10811,33,115,34869,0
3,1352,195,3,8,8711,0
2,2521,2284,0,1,562,0
2,331,527,0,0,201,0
3,4209,715,1,4,2943,0
3,3373,45,3,2,70,0
3,57727,1455,8,24,8124,0
4,655354,10229,620,1008,9066,0
4,307343,351,454,759,478,0
5,377749,7,4,13,18969,0
4,16551,1252,6,11,41362,0
3,1379,1472,2,3,913,0
3,2257,888,0,0,78212,0
